datetime,portfolio_value,cash,cash_deposits_total,cash_withdrawals_total,cash_adjustments_net_total,cash_financing_enabled,cash_financing_account_mode,cash_financing_credit_total,cash_financing_debit_total,cash_financing_net_total,cash_financing_days_accrued,cash_financing_events,cash_financing_last_credit_rate_used,cash_financing_last_debit_rate_used,positions,cash_deposits_period,cash_withdrawals_period,cash_adjustments_net_period,cash_financing_credit_period,cash_financing_debit_period,cash_financing_net_period,return,cash_adjusted_portfolio_value
2022-01-03 08:30:00-05:00,100000.0,100000.0,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,,100000.0
2022-01-03 09:30:00-05:00,100000.0,100000.0,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2022-01-03 09:30:00-05:00,100000.0,100000.0,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2022-01-03 16:00:00-05:00,99930.70281982422,49988.50128173828,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 105.0}]",0.0,0.0,0.0,0.0,0.0,0.0,-0.0006929718017578125,99930.70281982422
2022-01-04 08:30:00-05:00,100000.0,49988.50128173828,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 105.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0006934523446785376,100000.0
2022-01-04 09:30:00-05:00,100000.0,49988.50128173828,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 105.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2022-01-04 09:30:00-05:00,100000.0,49988.50128173828,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 105.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2022-01-04 16:00:00-05:00,100000.0,49988.50128173828,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 105.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2022-01-05 08:30:00-05:00,100306.60140991211,49988.50128173828,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 105.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.003066014099121094,100306.6014099121
2022-01-05 09:30:00-05:00,100306.60140991211,49988.50128173828,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 105.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,100306.6014099121
2022-01-05 09:30:00-05:00,100306.60140991211,49988.50128173828,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 105.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,100306.6014099121
2022-01-05 16:00:00-05:00,100306.60140991211,49988.50128173828,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 105.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,100306.6014099121
2022-01-06 08:30:00-05:00,100090.30166625977,49988.50128173828,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 105.0}]",0.0,0.0,0.0,0.0,0.0,0.0,-0.0021563859268685123,100090.30166625977
2022-01-06 09:30:00-05:00,100090.30166625977,49988.50128173828,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 105.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,100090.30166625977
2022-01-06 09:30:00-05:00,100090.30166625977,49988.50128173828,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 105.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,100090.30166625977
2022-01-06 16:00:00-05:00,100090.30166625977,49988.50128173828,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 105.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,100090.30166625977
2022-01-07 08:30:00-05:00,99116.95281982422,49988.50128173828,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 105.0}]",0.0,0.0,0.0,0.0,0.0,0.0,-0.009724706891993121,99116.9528198242
2022-01-07 09:30:00-05:00,99116.95281982422,49988.50128173828,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 105.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,99116.9528198242
2022-01-07 09:30:00-05:00,99116.95281982422,49988.50128173828,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 105.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,99116.9528198242
2022-01-07 16:00:00-05:00,99116.95281982422,49988.50128173828,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 105.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,99116.9528198242
2022-01-10 08:30:00-05:00,99123.25256347656,49988.50128173828,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 105.0}]",0.0,0.0,0.0,0.0,0.0,0.0,6.355868974095164e-05,99123.25256347656
2022-01-10 09:30:00-05:00,99123.25256347656,49988.50128173828,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 105.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,99123.25256347656
2022-01-10 09:30:00-05:00,99123.25256347656,49988.50128173828,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 105.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,99123.25256347656
2022-01-10 16:00:00-05:00,99123.25256347656,49988.50128173828,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 105.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,99123.25256347656
2022-01-11 08:30:00-05:00,98572.00256347656,49988.50128173828,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 105.0}]",0.0,0.0,0.0,0.0,0.0,0.0,-0.005561258188607062,98572.00256347656
2022-01-11 09:30:00-05:00,98572.00256347656,49988.50128173828,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 105.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,98572.00256347656
2022-01-11 09:30:00-05:00,98572.00256347656,49988.50128173828,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 105.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,98572.00256347656
2022-01-11 16:00:00-05:00,98572.00256347656,49988.50128173828,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 105.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,98572.00256347656
2022-01-12 08:30:00-05:00,98837.65243530273,49988.50128173828,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 105.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0026949830065094156,98837.65243530273
2022-01-12 09:30:00-05:00,98837.65243530273,49988.50128173828,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 105.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,98837.65243530273
2022-01-12 09:30:00-05:00,98837.65243530273,49988.50128173828,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 105.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,98837.65243530273
2022-01-12 16:00:00-05:00,98837.65243530273,49988.50128173828,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 105.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,98837.65243530273
2022-01-13 08:30:00-05:00,99505.4508972168,49988.50128173828,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 105.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.006756518851468986,99505.45089721678
2022-01-13 09:30:00-05:00,99505.4508972168,49988.50128173828,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 105.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,99505.45089721678
2022-01-13 09:30:00-05:00,99505.4508972168,49988.50128173828,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 105.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,99505.45089721678
2022-01-13 16:00:00-05:00,99505.4508972168,49988.50128173828,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 105.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,99505.45089721678
2022-01-14 08:30:00-05:00,99568.45153808594,49988.50128173828,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 105.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0006331375849370959,99568.45153808592
2022-01-14 09:30:00-05:00,99568.45153808594,49988.50128173828,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 105.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,99568.45153808592
2022-01-14 09:30:00-05:00,99568.45153808594,49988.50128173828,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 105.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,99568.45153808592
2022-01-14 16:00:00-05:00,99568.45153808594,49988.50128173828,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 105.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,99568.45153808592
2022-01-18 08:30:00-05:00,98413.45153808594,49988.50128173828,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 105.0}]",0.0,0.0,0.0,0.0,0.0,0.0,-0.011600059879993222,98413.45153808592
2022-01-18 09:30:00-05:00,98413.45153808594,49988.50128173828,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 105.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,98413.45153808592
2022-01-18 09:30:00-05:00,98413.45153808594,49988.50128173828,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 105.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,98413.45153808592
2022-01-18 16:00:00-05:00,98413.45153808594,49988.50128173828,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 105.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,98413.45153808592
2022-01-19 08:30:00-05:00,97433.59274291992,97433.59274291992,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,-0.009956553498043008,97433.5927429199
2022-01-19 09:30:00-05:00,97433.59274291992,97433.59274291992,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,97433.5927429199
2022-01-19 09:30:00-05:00,97433.59274291992,97433.59274291992,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,97433.5927429199
2022-01-19 16:00:00-05:00,97433.59274291992,97433.59274291992,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,97433.5927429199
2022-01-20 08:30:00-05:00,97433.59274291992,97433.59274291992,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,97433.5927429199
2022-01-20 09:30:00-05:00,97433.59274291992,97433.59274291992,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,97433.5927429199
2022-01-20 09:30:00-05:00,97433.59274291992,97433.59274291992,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,97433.5927429199
2022-01-20 16:00:00-05:00,97433.59274291992,97433.59274291992,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,97433.5927429199
2022-01-21 08:30:00-05:00,97433.59274291992,97433.59274291992,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,97433.5927429199
2022-01-21 09:30:00-05:00,97433.59274291992,97433.59274291992,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,97433.5927429199
2022-01-21 09:30:00-05:00,97433.59274291992,97433.59274291992,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,97433.5927429199
2022-01-21 16:00:00-05:00,97433.59274291992,97433.59274291992,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,97433.5927429199
2022-01-24 08:30:00-05:00,97433.59274291992,97433.59274291992,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,97433.5927429199
2022-01-24 09:30:00-05:00,97433.59274291992,97433.59274291992,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,97433.5927429199
2022-01-24 09:30:00-05:00,97433.59274291992,97433.59274291992,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,97433.5927429199
2022-01-24 16:00:00-05:00,97433.59274291992,97433.59274291992,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,97433.5927429199
2022-01-25 08:30:00-05:00,97433.59274291992,97433.59274291992,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,97433.5927429199
2022-01-25 09:30:00-05:00,97433.59274291992,97433.59274291992,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,97433.5927429199
2022-01-25 09:30:00-05:00,97433.59274291992,97433.59274291992,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,97433.5927429199
2022-01-25 16:00:00-05:00,97433.59274291992,97433.59274291992,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,97433.5927429199
2022-01-26 08:30:00-05:00,97433.59274291992,97433.59274291992,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,97433.5927429199
2022-01-26 09:30:00-05:00,97433.59274291992,97433.59274291992,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,97433.5927429199
2022-01-26 09:30:00-05:00,97433.59274291992,97433.59274291992,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,97433.5927429199
2022-01-26 16:00:00-05:00,97433.59274291992,97433.59274291992,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,97433.5927429199
2022-01-27 08:30:00-05:00,97433.59274291992,97433.59274291992,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,97433.5927429199
2022-01-27 09:30:00-05:00,97433.59274291992,97433.59274291992,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,97433.5927429199
2022-01-27 09:30:00-05:00,97433.59274291992,97433.59274291992,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,97433.5927429199
2022-01-27 16:00:00-05:00,97433.59274291992,97433.59274291992,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,97433.5927429199
2022-01-28 08:30:00-05:00,97433.59274291992,97433.59274291992,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,97433.5927429199
2022-01-28 09:30:00-05:00,97433.59274291992,97433.59274291992,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,97433.5927429199
2022-01-28 09:30:00-05:00,97433.59274291992,97433.59274291992,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,97433.5927429199
2022-01-28 16:00:00-05:00,97433.59274291992,97433.59274291992,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,97433.5927429199
