Metric,benchmark,Strategy
Risk-Free Rate,5.19%,5.19%
Time in Market,68.0%,65.0%
,,
Total Return,3.86%,1.62%
CAGR% (Annual Return),61.11%,22.42%
,,
Sharpe,4.76,2.22
RoMaD,72.64,27.22
Corr to Benchmark,1.0,0.29
Prob. Sharpe Ratio,91.35%,74.57%
Smart Sharpe,3.35,1.56
Sortino,10.74,3.83
Smart Sortino,7.55,2.7
Sortino/√2,7.59,2.71
Smart Sortino/√2,5.34,1.91
Omega,1.42,1.42
,,
Max Drawdown,-1.14%,-0.93%
Longest DD Days,4,7
Volatility (ann.),9.4%,4.57%
R^2,0.08,0.08
Information Ratio,-0.2,-0.2
Calmar,72.64,27.22
Skew,0.96,0.44
Kurtosis,1.42,0.8
,,
Expected Daily%,0.14%,0.04%
Expected Monthly%,3.86%,1.16%
Expected Yearly%,3.86%,1.16%
Daily Value-at-Risk,-0.67%,-0.35%
Expected Shortfall (cVaR),-0.67%,-0.35%
,,
MTD,3.86%,1.16%
3M,3.86%,1.16%
6M,3.86%,1.16%
YTD,3.86%,1.16%
1Y,3.86%,1.16%
3Y (ann.),66.9%,16.94%
5Y (ann.),66.9%,16.94%
10Y (ann.),66.9%,16.94%
All-time (ann.),66.9%,16.94%
,,
Best Day,1.43%,0.66%
Worst Day,-0.82%,-0.45%
Best Month,3.86%,1.16%
Worst 1-Month Return,3.86%,1.16%
Best Year,3.86%,1.16%
Worst Year,3.86%,1.16%
,,
Avg. Drawdown,-0.27%,-0.38%
Avg. Drawdown Days,2,6
Recovery Factor,4.15,1.87
Ulcer Index,0.0,0.0
Serenity Index,-7.46,-7.46
Annualized Return on Risk Capital,5462.41%,2437.32%
Worst 3-Month Return,-,-
Time to Recovery (Days),1.0,4.0
5th Percentile Tail Loss,-0.49%,-0.33%
Time Underwater (Days),13.0,18.0
Percent Positive Months,100.0,100.0
,,
Avg. Up Month,3.86%,1.16%
Avg. Down Month,-,-
Win Days,16.21,17.11
Loss Days,11.79,10.89
Win Days%,57.89%,61.11%
Win Month%,100.0%,100.0%
Win Quarter%,100.0%,100.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.14
Alpha,-,0.08
Correlation,-,28.63%
Treynor Ratio,-,-28.92%
